Category,Exact table,Exact columns,Storage bucket,Admin can read?,Admin can edit?,Where in admin code
"Customer personal data","profiles","id; full_name; email; phone; avatar_url; role; status","profile-images (avatar)","Yes","Yes, basic fields","admin-dashboard/src/lib/admin-users.ts:698; admin-dashboard/src/lib/admin-users.ts:893"
"Customer personal data","customer_profiles","first_name; last_name; date_of_birth; sex; phone_number; country_code; emergency_contact_number; city; region; state; country; verified; completion","","Yes","Partly","admin-dashboard/src/lib/admin-users.ts:707"
"Customer address","addresses","user_id; label; address_line_1; address_line_2; city; state; postcode; country; is_default","","Yes","Limited in current admin UI","admin-dashboard/src/lib/admin-users.ts:340"
"Customer auth metadata","auth.users.user_metadata","full_name; first_name; last_name; sex; country; emergency_contact_number; verification-related metadata","","Limited","Limited","Handled mainly in app APIs, not clearly exposed in admin dashboard"
"Provider personal data","profiles","id; full_name; email; phone; avatar_url; role; status","profile-images (avatar)","Yes","Yes","admin-dashboard/src/lib/admin-providers.ts:515; admin-dashboard/src/lib/admin-providers.ts:1307"
"Provider profile data","provider_profiles","marketing_name; date_of_birth; residential_address; service_location; service_radius_km; bio; approval_status; verification_status; is_visible; formatted_address; road; suburb; city; state; postcode; country; house_number; latitude; longitude; average_rating; total_reviews","","Yes","Yes","admin-dashboard/src/lib/admin-providers.ts:537; admin-dashboard/src/lib/admin-providers.ts:1314"
"Provider auth metadata","auth.users.user_metadata","country; emergency_contact_number; identity_verification_status; identity_document_type","","Limited","Limited","Handled mainly in app APIs"
"Provider service details","provider_services","provider_id; service_type; years_experience; hourly_rate; daily_rate; image_data_urls; image_captions; certificate_data_urls; certificate_captions","provider-work-images; certificates","Yes","Limited/full edit not obvious","admin-dashboard/src/lib/admin-providers.ts:194"
"Provider specialties","provider_service_specialties","provider_service_id; specialty","","Yes","Limited","admin-dashboard/src/lib/admin-providers.ts:203"
"Provider availability","provider_availability","provider_id; day_of_week; time_mode; start_time; end_time","","Not clearly exposed in admin UI","Not clearly exposed","Stored by app, weak admin surface"
"Customer verification","customer_profiles","identity_document_type; identity_front_image_url; identity_back_image_url; verified","identity-documents","Partly","Limited","admin-dashboard/src/lib/admin-users.ts:707"
"Provider verification","provider_verifications","provider_id; phone_verified; email_verified; identity_verified; kyc_verified; background_check_verified; identity_document_type; identity_front_image_url; identity_back_image_url","identity-documents","Yes","Yes","admin-dashboard/src/lib/admin-providers.ts:207; admin-dashboard/src/lib/admin-providers.ts:1361"
"Customer IC/passport images","customer_profiles","identity_front_image_url; identity_back_image_url","identity-documents","Partly","Limited","Read through user detail data; no strong dedicated editor found"
"Provider IC/passport images","provider_verifications","identity_front_image_url; identity_back_image_url","identity-documents","Yes","Yes/partly","admin-dashboard/src/lib/admin-providers.ts:207; app/api/admin/media-sign/route.ts:1"
"Task / booking details","bookings","customer_id; provider_id; provider_service_id; booking_status; booking_mode; service_key; service_label; location_text; scheduled_date; scheduled_start_time; scheduled_end_time; duration_hours; customer_note; provider_response_note; decline_reason; hourly_rate; daily_rate; quoted_amount; accepted_at; on_the_way_at; arrived_at; completed_at; paid_at; review_requested_at; reviewed_at; cancelled_at; work_finished_at; work_finished_images; work_confirmed_by_user_at; payment_sent_at; payment_breakdown; booking_price; additional_charges; discount_amount; final_amount; cash_paid_by_user_at; cash_payment_proof_images; payment_received_by_provider_at; user_review_status; provider_review_status","Storage-backed URLs may appear in image fields","Yes","Mostly read, limited editing","admin-dashboard/src/lib/admin-bookings.ts:171; admin-dashboard/src/pages/booking-detail-page.tsx:1"
"Task messages","booking_messages","booking_id; sender_id; sender_role; message_text; attachment_data_url; attachment_file_name; attachment_mime_type","Attachment storage if used","Not clearly surfaced","Not clearly surfaced","Limited admin support visible"
"Task status audit","booking_status_history","booking_id; old_status; new_status; changed_by; changed_by_role; note; created_at","","Possibly via backend, not obvious UI","No","Limited admin support visible"
"Notifications","notifications","user_id; booking_id; notification_type; title; body; is_read; created_at; read_at","","Not main admin surface","No","Not a strong admin feature"
"Payment details","payments","booking_id; customer_id; provider_id; service_title; currency; amount; payment_provider; payment_method; status; stripe_checkout_session_id; stripe_payment_intent_id; checkout_url; paid_at; payment_option; company_commission_rate; company_commission_amount; provider_net_amount; company_payment_status; company_paid_at; customer_confirmed_at; provider_sent_amount_at; provider_company_payment_amount; company_payment_requested_at; admin_company_received_amount","Payment proof images stored separately","Yes","Limited/specific","admin-dashboard/src/lib/admin-payments.ts:105; admin-dashboard/src/pages/payment-detail-page.tsx:1"
"Customer payment proof images","payments; bookings","customer_payment_proof_data_url; customer_payment_proof_file_name; customer_payment_proof_mime_type; cash_payment_proof_images","payment-proofs","Yes","Limited","Payment detail flows, but not a strong image editor UI"
"Provider company payment proof images","payments","provider_company_payment_proof_data_url; provider_company_payment_proof_file_name; provider_company_payment_proof_mime_type","payment-proofs","Yes","Limited","admin-dashboard/src/lib/admin-payments.ts:105"
"Customer reviews","reviews","booking_id; provider_id; customer_id; rating; tags; comment; recommend; provider_reply; provider_replied_at; photos","review-images","Partly","Limited","Some provider/user detail rollups; no full review editor found"
"Provider reviews about customer","provider_customer_reviews","booking_id; provider_id; customer_id; rating; comment; photos","review-images","Partly","Limited","Some rollups; no full review editor found"
"Work completion images","bookings","work_finished_images","Storage-backed URLs/paths","Partly","Limited","Mostly booking detail data, not clear dedicated editor"
"Local provider registration copy","data/provider-registrations.json","full provider registration payload copy","Local file, not DB","No, not via admin dashboard","No, not via admin dashboard","lib/provider-registration-storage.ts:90"
