flow,variant,screen_file_path,api_request_url,submit_function_name,payload_object_exactly_as_sent,type_interface_name,uploaded_file_fields,where_each_file_ends_up,exact_database_related_field_names,notes
registration,customer signup submit,D:\della-pwa\app\signup\user\page.tsx; D:\della-pwa\app\api\auth\register\customer\route.ts,POST /api/auth/register/customer,inline startTransition submit in signup page,"{ firstName, lastName, dateOfBirth, sex, avatarDataUrl, email, phoneNumber, emergencyContactNumber, password, confirmPassword, addressLabel, addressLine1, addressLine2, postcode, city, state: stateName, country }",CustomerSignupPayload,avatarDataUrl,avatarDataUrl -> Supabase Storage bucket profile-images -> profiles.avatar_url,"profiles.id, full_name, email, role, phone, avatar_url, status; customer_profiles.id, first_name, last_name, date_of_birth, sex, city, region, state, country, verified; addresses.user_id, label, address_line_1, address_line_2, city, state, postcode, country, is_default","Server type also supports unitNumber, but current signup UI does not send it"
profile update,general profile edit,D:\della-pwa\app\profile\_components\profile-ui.tsx; D:\della-pwa\lib\profile-browser.ts; D:\della-pwa\app\api\profile\me\route.ts,PATCH /api/profile/me,handleSave -> saveCustomerProfile,"JSON.stringify(form) where form = { firstName, lastName, sex, dateOfBirth, avatarUrl, email, phoneNumber, countryCode, emergencyContactNumber, city, region, country, emailVerified, phoneVerified, identityVerificationStatus, identityDocumentType, identityFrontImageUrl, identityBackImageUrl, verified, completion }",CustomerProfile on client; UpdatePayload on server,avatarUrl; identityFrontImageUrl if present; identityBackImageUrl if present,avatarUrl -> profile-images -> profiles.avatar_url; identityFrontImageUrl -> identity-documents private -> customer_profiles.identity_front_image_url; identityBackImageUrl -> identity-documents private -> customer_profiles.identity_back_image_url,"profiles.full_name, email, phone, avatar_url; auth user_metadata.full_name, first_name, last_name, sex, country, emergency_contact_number, email_verified, phone_verified, identity_verification_status, identity_document_type; customer_profiles.first_name, last_name, date_of_birth, sex, phone_number, country_code, emergency_contact_number, identity_document_type, identity_front_image_url, identity_back_image_url, city, region, country, verified, completion, updated_at",saveCustomerProfile also stores the profile JSON in localStorage key della.customer.profile
verification,email verification status update,D:\della-pwa\app\profile\_components\profile-ui.tsx; D:\della-pwa\app\api\profile\me\route.ts,PATCH /api/profile/me,patchCustomerProfile,"{ email: emailValue.trim(), emailVerified: true }",UpdatePayload,none,no file upload,profiles.email; auth user_metadata.email_verified,This flow flips app/backend verification flags without external OTP validation
verification,phone verification status update,D:\della-pwa\app\profile\_components\profile-ui.tsx; D:\della-pwa\app\api\profile\me\route.ts,PATCH /api/profile/me,patchCustomerProfile,"{ phoneNumber: phoneNumber.trim(), countryCode: profile.countryCode || ""+60"", phoneVerified: true }",UpdatePayload,none,no file upload,"profiles.phone; customer_profiles.phone_number, country_code; auth user_metadata.phone_verified",This flow also only updates flags in app/backend
verification,identity / IC / passport submit,D:\della-pwa\app\profile\_components\profile-ui.tsx; D:\della-pwa\app\api\profile\me\route.ts,PATCH /api/profile/me,patchCustomerProfile,"{ verified: false, identityVerificationStatus: ""processing"", identityDocumentType: selectedDocumentType, identityFrontImageUrl: frontPreview, identityBackImageUrl: backPreview }",UpdatePayload,identityFrontImageUrl; identityBackImageUrl,identityFrontImageUrl -> identity-documents private -> customer_profiles.identity_front_image_url; identityBackImageUrl -> identity-documents private -> customer_profiles.identity_back_image_url,"auth user_metadata.identity_verification_status, identity_document_type; customer_profiles.identity_document_type, identity_front_image_url, identity_back_image_url, verified",selectedDocumentType is ic or passport
booking creation,create booking request,D:\della-pwa\app\providers\[id]\book\screen.tsx; D:\della-pwa\app\api\bookings\route.ts,POST /api/bookings,inline booking submit in provider booking screen,"{ providerId: detail.id, providerName: detail.name, serviceKey: detail.serviceKey, serviceLabel: detail.serviceLabel, location: serviceAddress.trim(), bookingMode, dateLabel: bookingDateLabel, startTimeLabel: bookingStartLabel, endTimeLabel: bookingEndLabel, timeLabel: bookingTimeLabel, durationHours, notes: [locationNote.trim(), notes.trim()].filter(Boolean).join(""\n""), hourlyRate: detail.hourlyRate, dailyRate: detail.dailyRate, totalAmount }",BookingBody validated as CompleteBookingBody,none,no file upload,"bookings.customer_id, provider_id, provider_service_id, booking_status, booking_mode, service_key, service_label, location_text, scheduled_date, scheduled_start_time, scheduled_end_time, duration_hours, customer_note, hourly_rate, daily_rate, quoted_amount, booking_price, final_amount; booking_messages.booking_id, sender_id, sender_role, message_text","Route also reads provider_availability.day_of_week, start_time, end_time and existing bookings for conflict validation"
booking updates,cash payment confirmation,D:\della-pwa\app\profile\_components\profile-ui.tsx; D:\della-pwa\app\api\bookings\[id]\cash-pay\route.ts,POST /api/bookings/{id}/cash-pay,handleCashPaid,"{ proofDataUrl: paymentProofDataUrl, proofFileName: paymentProofFileName, proofMimeType: paymentProofMimeType }",CashPaymentPayload,proofDataUrl,"proofDataUrl -> Supabase Storage bucket payment-proofs private -> payments.customer_payment_proof_data_url, customer_payment_proof_file_name, customer_payment_proof_mime_type; also bookings.cash_payment_proof_images","payments.status, payment_method, paid_at, customer_confirmed_at, customer_payment_proof_data_url, customer_payment_proof_file_name, customer_payment_proof_mime_type; bookings.booking_status, cash_paid_by_user_at, cash_payment_proof_images",Marks booking_status cash_paid_by_user
booking updates,customer review submit,D:\della-pwa\app\profile\_components\profile-ui.tsx; D:\della-pwa\app\api\bookings\[id]\review\route.ts,POST /api/bookings/{id}/review,submitReview,"{ rating, comment, photos, tags: selectedTags, recommend }",ReviewPayload,photos,photos -> Supabase Storage bucket review-images public -> reviews.photos,"reviews.booking_id, provider_id, customer_id, rating, comment, photos, tags, recommend; bookings.booking_status, user_review_status, reviewed_at",Server falls back to rating/comment-only write if review metadata columns are missing
booking updates,confirm provider finished work,D:\della-pwa\app\api\bookings\[id]\complete\route.ts,POST /api/bookings/{id}/complete,no current customer UI caller found,No request body required,no request body type declared,none,no file upload,"bookings.booking_status, work_confirmed_by_user_at","Server-side route exists and moves booking to work_confirmed_by_user, but no active customer fetch caller was found"
payments,payment history fetch,D:\della-pwa\app\profile\_components\profile-ui.tsx; D:\della-pwa\app\api\profile\payments\route.ts,GET /api/profile/payments,history loader only; no submit,No request body,PaymentHistoryItem[] response,none,no file upload,"payments.id, booking_id, provider_id, service_title, amount, payment_method, status, paid_at, created_at; fallback bookings.id, provider_id, service_label, booking_status, final_amount, quoted_amount, booking_price, cash_paid_by_user_at, completed_at, created_at",Read-only flow used by profile payments screen
